	http://blog.outer-court.com/rss.xml	http://feeds.abcnews.com/abcnews/blotterheadlines	http://feeds.feedburner.com/37signals/beMH	http://feeds.feedburner.com/GoogleOperatingSystem	http://feeds.feedburner.com/JohnBattellesSearchblog	http://feeds.feedburner.com/Mashable	http://feeds.feedburner.com/andrewsullivan/rApM	http://feeds.feedburner.com/blogspot/bRuz	http://feeds.feedburner.com/paulstamatiou	http://feeds.feedburner.com/pjmedia/instapundit	http://feeds.feedburner.com/powerlineblog/livefeed	http://gizmodo.com/index.xml	http://gofugyourself.typepad.com/go_fug_yourself/index.rdf	http://googleblog.blogspot.com/rss.xml	http://headrush.typepad.com/creating_passionate_users/index.rdf	http://joi.ito.com/index.rdf	http://michellemalkin.com/feed/	http://moblogsmoproblems.blogspot.com/rss.xml	http://newsbusters.org/node/feed	http://radar.oreilly.com/index.rdf	http://rss.slashdot.org/Slashdot/slashdot	http://scienceblogs.com/pharyngula/feed/	http://scobleizer.wordpress.com/feed/	http://sethgodin.typepad.com/seths_blog/index.rdf	http://thinkprogress.org/feed/	http://www.topix.com//rss/news/blogs	https://blog.zawodny.com/feed/	https://gigaom.com/feed/	https://guykawasaki.com/feed/	https://searchenginewatch.com/tag/rss-feed/feed/
ever	0	0	5.0	0	0	1.0	0	7.0	4.0	0	0	0	0	3.0	0	0	0	3.0	13.0	0	3.0	0	0	0	0	0	0	1.0	0	0
every	1.0	0	6.0	1.0	0	2.0	1.0	4.0	26.0	0	0	0	0	10.0	1.0	1.0	0	13.0	21.0	1.0	0	0	1.0	0	1.0	3.0	0	1.0	0	0
everyone	0	0	14.0	1.0	0	0	0	2.0	9.0	0	0	0	0	3.0	0	0	0	9.0	8.0	0	0	0	0	2.0	1.0	0	0	1.0	0	0
everything	0	0	4.0	0	0	1.0	0	0	19.0	0	0	0	1.0	3.0	0	0	0	0	6.0	1.0	0	0	2.0	0	0	0	0	0	0	1.0
example	0	0	2.0	7.0	0	0	4.0	1.0	14.0	0	0	0	0	4.0	1.0	0	0	4.0	9.0	0	0	0	0	0	3.0	0	0	0	1.0	0
expect	0	0	3.0	0	0	0	2.0	1.0	6.0	0	0	0	0	2.0	0	0	0	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0
experience	0	0	1.0	0	0	2.0	0	0	17.0	0	0	0	0	18.0	0	0	0	1.0	2.0	0	0	0	0	0	0	0	0	0	1.0	0
experiences	1.0	0	0	2.0	0	0	1.0	0	5.0	0	0	0	0	6.0	1.0	0	0	0	2.0	0	0	0	0	0	0	0	0	0	0	0
face	0	0	0	0	2.0	1.0	1.0	1.0	2.0	1.0	0	0	0	2.0	0	0	0	0	12.0	0	0	0	0	0	2.0	0	0	0	0	0
facebook	0	0	1.0	0	17.0	0	0	1.0	2.0	0	0	0	0	0	0	4.0	0	10.0	6.0	0	0	0	5.0	0	0	2.0	1.0	0	0	0
fact	0	0	3.0	1.0	1.0	1.0	1.0	1.0	4.0	2.0	0	0	0	6.0	0	0	0	3.0	24.0	1.0	1.0	0	0	0	2.0	0	0	0	0	0
fake	0	0	0	0	0	1.0	0	2.0	1.0	0	0	0	0	2.0	0	0	0	0	21.0	0	0	0	0	0	3.0	0	0	0	0	0
false	0	0	0	0	0	3.0	0	0	7.0	0	0	0	0	0	0	0	0	1.0	2.0	0	0	0	0	0	4.0	0	0	0	0	0
